,,,,,,,,,,,
,,,,,,,,,,,
,,,22 -,10 - 25,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PLANILLA DE STOCK Y UBICACIONES,,,,,,PLANILLA IMPORTADA DEL SISTEMA,,,,COMPARADOR,
CODIGO SERVER,CODIGO NUEVO,DESCRIPCION,STOCK,UBICACIÓN,,CODIGO,DESCRIPCION,STOCK,,CODIGO,STOCK
B8310500114,,Kit W3GZ50 accesorios,3,F0 - CONO P/AGRICULTURA 1250mm,,,,,,SI,NO
C7377523634,,Hélice soplante 254 mm,764,d1c,,,,,,SI,NO
C7381623634,,Hélice aspirante 300 mm,16,d1b,,,,,,SI,NO
CD3863324037,,Wall Ring,4,C5A,,,,,,SI,NO
CD7188124053,,Pie de montaje,733,A2A,,,,,,SI,NO
CD7376923634,,Hélice soplante 200mm,2521,d1b,,,,,,SI,NO
CD7377723634,,Helice soplante 300 mm,890,,,,,,,SI,NO
CD7377823634,,Hélice soplante 300 mm,3,en mi escritorio - c8a,,,,,,SI,NO
CD7380323634,,Hélice aspirante 154 mm,5100,C8A,,,,,,SI,NO
CD7380823634,,Helice aspirante 200 mm,7240,C9A - C8A,,,,,,SI,NO
CD7380923634,,Helice Aspirante 200 mm,178,C8A,,,,,,SI,NO
CD7381223634,,Helice aspirante 230 mm,678,c1C,,,,,,SI,NO
CD7381423634,,Helice Aspirante 254 mm,1088,C8C,,,,,,SI,NO
CD7381523634,,Hélice aspirante 254 mm,1221,d2b,,,,,,SI,NO
CD7381723634,,Hélice aspirante 300 mm 38°,220,en el escritorio de pedidos - c8a,,,,,,SI,NO
CD7381823634,,Hélice aspirante 300 mm,400,c8a,,,,,,SI,NO
CD8317078020,,Helice Plastica 220mm,1,A1A,,,,,,SI,NO
CD8317078021,,Helice Plastica 250mm,1,A1A,,,,,,SI,NO
CD8317080426,,Wall Ring Axial Fan,5,A7A,,,,,,SI,NO
CDA4E300AS7252,,Axial fan,4,C8B,,,,,,SI,NO
CDIQC3608,,Motor (8317078913),5,A2B,,,,,,SI,NO
CDIQC3612,,Motor (8317079488),3,A2B,,,,,,SI,NO
CDM4Q045BD0101,,Motor Q 5 watts,2707,C1AB - C2AB - 1u en taller,,,,,,SI,NO
CDM4Q045CA0351,,Motor Q 10 watts,1754,c1abc - c4c - C6B,,,,,,SI,NO
CDM4Q045DA0112,,Motor Q 18 watts,2353,C3BC - C6AB - C4ABC - C5AB,,,,,,SI,NO
CDM4Q045EF0101,,Motor Q 34 watts,350,c5b - c10c,,,,,,SI,NO
